ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Talisker 8 Year Old,850.0,75,0.46,"1,133.33 per litre"
 Talisker 12 Year Old,850.0,75,0.43,"1,133.33 per litre"
 Ledaig 1973,850.0,70,0.45,"1,214.29 per litre"
 Highland Park 8 Year Old,850.0,75,0.43,"1,133.33 per litre"
 Talisker 8 Year Old,850.0,75,0.46,"1,133.33 per litre"
 Talisker 12 Year Old,850.0,75,0.43,"1,133.33 per litre"
 Talisker 12 Year Old,850.0,75,0.43,"1,133.33 per litre"
 Talisker 8 Year Old,850.0,75,0.46,"1,133.33 per litre"
 Talisker 8 Year Old,850.0,75,0.46,"1,133.33 per litre"
 Highland Park 30 Year Old,850.0,70,0.45,"1,214.29 per litre"
 Talisker 12 Year Old,899.0,75,0.43,"1,198.67 per litre"
 Highland Park 1977,900.0,70,0.4,"1,285.71 per litre"
 Tobermory 1972,900.0,75,0.4,"1,200 per litre"
 SMWS 4.62 (Highland Park),900.0,70,0.54,"1,285.71 per litre"
 Talisker 1979,900.0,75,0.63,"1,200 per litre"
Highland Park 30 Year Old,950.0,70,0.46,"1,357.14 per litre"
 Talisker 1974,950.0,70,0.45,"1,357.14 per litre"
 Talisker 8 Year Old,1000.0,75,0.46,"1,333.33 per litre"
 Talisker 30 Year Old,1000.0,70,0.53,"1,428.57 per litre"
 Talisker 30 Year Old,1000.0,70,0.57,"1,428.57 per litre"
 Talisker 8 Year Old,1000.0,75.7,0.46,"1,321 per litre"
 Talisker 8 Year Old,1000.0,75,0.46,"1,333.33 per litre"
 Talisker 8 Year Old,1000.0,75,0.46,"1,333.33 per litre"
 Highland Park 1972,1000.0,70,0.56,"1,428.57 per litre"
 SMWS 14.5 (Talisker),1000.0,70,0.64,"1,428.57 per litre"
 Isle Of Jura 33 Year Old,1000.0,70,0.43,"1,428.57 per litre"
 SMWS 4.65 (Highland Park),1000.0,50,0.58,"2,000 per litre"
 SMWS 4.7 (Highland Park),1000.0,75,0.6,"1,333.33 per litre"
 Highland Park 25 Year Old,1100.0,70,0.51,"1,571.43 per litre"
 SMWS 14.7 (Talisker),1100.0,70,0.63,"1,571.43 per litre"
 Highland Park 1977,1200.0,70,0.4,"1,714.29 per litre"
 Talisker 12 Year Old,1200.0,100,0.43,
 Highland Park 1986,1200.0,75,0.54,"1,600 per litre"
 Highland Park 1973,1200.0,70,0.55,"1,714.29 per litre"
 Talisker 12 Year Old,1250.0,75,0.43,"1,666.67 per litre"
 Highland Park 1978,1250.0,70,0.55,"1,785.71 per litre"
 Talisker 12 Year Old,1250.0,75,0.43,"1,666.67 per litre"
Highland Park Thorfinn,1300.0,70,0.45,"1,857.14 per litre"
 Talisker 30 Year Old,1350.0,70,0.52,"1,928.57 per litre"
 Highland Park 1972,1350.0,75,0.55,"1,800 per litre"
 Highland Park 1972,1350.0,75,0.6,"1,800 per litre"
 Highland Park 1967,1500.0,70,0.43,"2,142.86 per litre"
 Highland Park 1977,1500.0,70,0.52,"2,142.86 per litre"
 Jura 1976,1500.0,70,0.54,"2,142.86 per litre"
 Highland Park 30 Year Old,1750.0,70,0.48,"2,500 per litre"
 Isle of Jura 1973,1750.0,70,0.55,"2,500 per litre"
 Talisker 1977,1750.0,70,0.55,"2,500 per litre"
 Talisker 1952,2000.0,70,0.4,"2,857.14 per litre"
 Highland Park 1966,2000.0,70,0.43,"2,857.14 per litre"
 Talisker 1953,2000.0,75,0.4,"2,666.67 per litre"
 Highland Park 30 Year Old,2000.0,70,0.48,"2,857.14 per litre"
 Highland Park 1966,2000.0,75,0.4,"2,666.67 per litre"
 Highland Park 1966,2000.0,70,0.41,"2,857.14 per litre"
 Highland Park 1965,2000.0,70,0.4,"2,857.14 per litre"
 Highland Park 1968,2500.0,70,0.49,"3,571.42 per litre"
 Talisker 1958,2500.0,75,0.4,"3,333.33 per litre"
 Talisker 1955,2500.0,70,0.4,"3,571.43 per litre"
 Isle of Jura 1966,2500.0,70,0.43,"3,571.43 per litre"
 Talisker 1956,2500.0,75,0.4,"3,333.33 per litre"
 Tobermory 42 Year Old,2500.0,70,0.48,"3,571.43 per litre"
 Talisker 1956,2500.0,75,0.4,"3,333.33 per litre"
 Talisker 1951,2500.0,75,0.43,"3,333.33 per litre"
 Talisker 1951,2500.0,75,0.43,"3,333.33 per litre"
 Talisker 1978,2750.0,70,0.5,"3,928.57 per litre"
 Talisker 1978,2875.0,70,0.51,"4,107.14 per litre"
 Highland Park 21 Year Old,3000.0,75,0.43,"4,000 per litre"
 Highland Park 1956,3000.0,75,0.43,"4,000 per litre"
 Highland Park 1956,3000.0,75,0.43,"4,000 per litre"
Highland Park 40 Year Old,3000.0,70,0.47,"4,285.71 per litre"
 Highland Park 1959,3000.0,75,0.43,"4,000 per litre"
 Highland Park 1958,3000.0,75,0.43,"4,000 per litre"
 Highland Park 1956,3000.0,75,0.43,"4,000 per litre"
 Isle of Jura 1965,4000.0,70,0.44,"5,714.29 per litre"
 Talisker 1973,4000.0,70,0.43,"5,714.29 per litre"
 Highland Park 1962,4000.0,75,0.43,"5,333.33 per litre"
 Talisker 12 Year Old,4000.0,75,0.43,"5,333.33 per litre"
 Highland Park 20 Year Old,4500.0,70,0.45,"6,428.57 per litre"
 Highland Park 35 Year Old,5000.0,70,0.5,"7,142.86 per litre"
 Isle of Jura 1966,6500.0,70,0.45,"9,285.71 per litre"
 Secret Stills 1.1,7500.0,70,0.45,"10,714.29 per litre"
 Highland Park 1958,10000.0,70,0.44,"14,285.71 per litre"
 Highland Park 1958,10000.0,75,0.44,"13,333.33 per litre"
Highland Park 50 Year Old,23250.0,70,0.42,"33,214.29 per litre"
 Highland Park 50 Year Old,40000.0,70,0.45,"57,142.86 per litre"
